ID,Name,Studio,Rotten,Genre,Domestic,Budget,Year
205,Frankenweenie,BV,87,Tsh,35.291068,39,2012
206,Free Birds,Relativity,18,Comedy,55.43549,55,2013
207,Friday the 13th,Paramount,25,Tsh,65,19,2009
208,Friends With Benefits,Warner Bros,71,Comedy,55.8,35,2011
209,Fright Night,DreamWorks,75,Tsh,18.3,30,2011
210,From Paris with Love,Independent,38,Action,24.08,52,2010
211,Frozen,Buena Vista,89,Musical,347.899011,150,2013
212,Fruitvale Station,Weinstein,94,Drama,16.101339,1,2013
213,Funny People ,Universal,68,Comedy,51.85,75,2009
214,Furry Vengeance,Summit,8,Comedy,17.63,35,2010
215,G-Force ,Disney,22,Action,119.4,150,2009
216,G.I. Joe: Retaliation,Paramount,28,Action,122.52306,130,2013
217,G.I. Joe: The Rise of Cobra ,Paramount,33,Action,150.2,175,2009
218,Gamer ,Lionsgate,29,Action,20.53,12.5,2009
219,Gangster Squad,Warner Bros,32,Action,46.000903,60,2013
220,Get Him to the Greek,Universal,73,Comedy,60.97,40,2010
221,Get Smart,Warner Bros.,51,Action,130.32,80,2008
222,Getaway,Warner Bros,2,Action,10.501938,18,2013
223,Ghost Rider,Sony,28,Action,115.8,35,2007
224,Ghost Rider: Spirit of Vengeance,Sony,17,Action,51.774002,57,2011
225,Ghost Town,Paramount,85,Comedy,13.37,20,2008
226,Ghosts of Girlfriends Past ,Warner Bros.,27,Comedy,55.25,50,2009
227,Girl Most Likely,Roadside Attractions,20,Comedy,1.378591,60,2012
228,Gnomeo and Juliet,Disney,56,Comedy,99.97,36,2011
229,Going the Distance,Warner Bros.,53,Comedy,17.8,32,2010
230,Good Luck Chuck,Lionsgate,3,Comedy,35.02,61,2007
231,Gran Torino,Warner Bros.,80,Drama,148.1,33,2008
232,Gravity,Warner Bros,97,Drama,261.208962,100,2013
233,Green Lantern,Warner Bros,27,Action,116.6,200,2011
234,Green Zone,Universal,53,Action,35.05,100,2010
235,Grindhouse,The Weinstein Company,82,Action,25.04,2,2008
236,Grown Ups,Independent,10,Comedy,162,80,2010
237,Grown Ups 2,Sony,7,Comedy,133.668525,80,2013
238,Grudge Match,Warner Bros,28,Comedy,29.236293,40,2013
239,Gulliver's Travels,Fox,21,Comedy,42.78,112,2010
240,Hairspray,Warner Bros.,92,Musical,118.87,50,2007
241,Hall Pass,Warner Bros,35,Comedy,45.06,36,2011
242,Halloween,The Weinstein Company,26,Tsh,58.27,32,2007
243,Halloween II,Independent,20,Tsh,33.39,15,2009
244,Hancock,Sony,40,Action,227.95,150,2008
245,Hanna,Universal,71,Action,40.26,30,2011
246,Hannah Montana: The Movie ,Disney,44,Comedy,79.58,35,2009
247,Hansel & Gretel,Paramount,15,Tsh,55.703475,50,2013
248,Happily N'Ever After,Lionsgate,4,Adventure,15.59,15,2007
249,Happy Feet 2,Village Roadshow Pictures,41,Adventure,64.01,135,2011
250,Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,Adventure,38.11,12,2008
251,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,Adventure,295,125,2010
252,Harry Potter and the Half-Blood Prince ,Warner Bros.,83,Adventure,302,250,2009
253,Harry Potter and the Order of the Phoenix,Warner Bros.,78,Adventure,292,150,2007
254,Haywire,Rela.,80,Action,18.942396,23,2011
255,He's Just Not That Into You ,Warner Bros.,42,Comedy,93.95,25,2009
256,Hellboy II: The Golden Army,Universal,87,Action,75.99,82.5,2008
257,Her,Warner Bros,94,Drama,24.124034,23,2013
258,High School Musical 3: Senior Year,Disney,65,Comedy,90.56,11,2008
259,Hitman,Fox,15,Action,39.69,17.5,2007
260,Homefront,Open Road Films,40,Action,20.158898,22,2013
261,Hop,Relativity Media,26,Comedy,108.09,63,2011
262,Hope Springs,Sony,74,Comedy,63.536011,30,2012
263,Horrible Bosses,Warner Bros,69,Comedy,117.54,35,2011
264,Hostel: Part II,Lionsgate,44,Tsh,17.61,110,2007
265,Hot Tub Time Machine,MGM,64,Adventure,50.29,36,2010
266,Hotel for Dogs ,Paramount,46,Comedy,73,35,2009
267,Hotel Transylvania,Sony,45,Comedy,148.313048,85,2012
268,House at the End of The Street,Rela.,10,Tsh,31.611916,10,2012
269,How to Train Your Dragon,Paramount,98,Action,217.58,165,2010
270,Hugo,Paramount,93,Adventure,73.86,150,2011
271,I Am Legend,Warner Bros.,69,Tsh,256.39,17,2007
272,I Am Number Four,Paramount,32,Tsh,55.1,60,2011
273,I Love You Beth Cooper ,Fox,14,Comedy,14.8,18,2009
274,I Love You Phillip Morris,Independent,71,Comedy,2.04,15,2009
275,"I Love You, Man ",Paramount,83,Comedy,71.4,40,2009
276,I Now Pronounce You Chuck and Larry,Universal,13,Comedy,120.06,25,2007
277,Ice Age: Continental Drift,Fox,37,Comedy,161.321843,95,2012
278,Ice Age: Dawn of the Dinosaurs ,Fox,45,Comedy,196.57,90,2009
279,Identity Thief,Universal,19,Comedy,134.50692,35,2013
280,Igor,Independent,36,Comedy,19.53,30,2008
281,Imagine That ,Paramount,38,Comedy,16.12,55,2009
282,Immortals,Relativity Media,36,Action,83.5,75,2011
283,In a World,Roadside Attractions,92,Comedy,2.963902,1,2013
284,In the Land of Women,Warner Bros.,43,Comedy,11.05,20,2007
285,In Time,Regency Enterprises,38,Tsh,37.52,40,2011
286,Inception,Warner Bros.,86,Action,292.58,160,2010
287,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,Action,317.1,185,2008
288,Inglourious Basterds ,Universal,88,Adventure,120.5,70,2009
289,Inkheart ,Warner Bros.,39,Adventure,17.3,60,2008
290,Inside Llewyn Davis,CBS,94,Musical,11.99599,11,2013
291,Insidious,Sony,67,Tsh,54.01,1.5,2010
292,Insidious Chapter 2,FilmDistrict,37,Tsh,83.586447,5,2013
293,Into the Wild,Paramount,82,Drama,18.35,10,2007
294,Iron Man,Paramount,94,Action,318.76,186,2008
295,Iron Man 2,Paramount,74,Action,312.43,200,2010
296,Iron Man 3,Buena Vista,78,Action,409.013994,200,2013
297,It's Complicated ,Universal,56,Comedy,112.73,85,2009
298,J.Edgar,Warner Bros,42,Drama,37.31,35,2011
299,Jack and Jill,Happy Madison,4,Comedy,74.16,79,2011
300,Jack Reacher,Par.,61,Action,80.070736,60,2012
301,Jack the Giant Slayer,Warner Bros,52,Adventure,65.187603,195,2013
302,Jackass 3-D,Paramount,63,Documentary,117.23,20,2010
303,Jennifer's Body ,Fox,42,Comedy,16.2,16,2009
304,Jobs,Open Road Films,27,Drama,16.13141,12,2013
305,John Carter,BV,51,Action,73.0781,250,2012
306,John Dies at the End,Magnolia,61,Tsh,0.141951,1,2012
307,Johnny English Reborn,Relativity Media,38,Comedy,8.31,45,2011
308,Jonah Hex,Warner Bros.,13,Action,10.55,47,2010
309,Journey 2: The Mysterious Island,WB,52,Adventure,103.86029,79,2012
310,Journey to the Center of the Earth,Warner Bros.,61,Action,101.7,45,2008
311,Jumper,Fox,16,Action,80.17,82.5,2008
312,Juno,Fox,94,Comedy,143.5,100,2007
313,Just Go With It,Happy Madison,19,Comedy,103.03,80,2011
314,Just Wright,Fox,45,Comedy,21.54,12,2010
315,Katy Perry: Part of Me,Par.,78,Documentary,25.326071,12,2012
316,Kick-Ass,Independent,76,Action,48.07,30,2010
317,Kick-Ass 2,Universal,29,Action,28.795985,28,2013
318,Killer Elite,Independent,25,Action,25.12,70,2011
319,Killers,Lionsgate,11,Action,47.06,75,2010
320,Kit Kittredge: An American Girl,Warner Bros.,78,Drama,17.66,10,2008
321,Knight and Day,Fox,53,Action,76.42,117,2010
322,Knocked Up,Universal,91,Comedy,148.77,6,2007
323,Knowing ,Summit,33,Drama,79.95,50,2009
324,Kung Fu Panda,Paramount,88,Adventure,215.43,200,2008
325,Kung Fu Panda 2,DreamWorks Animation,82,Adventure,165.25,150,2011
326,Land of the Lost ,Universal,26,Drama,49.43,100,2009
327,Larry Crowne,Universal,34,Drama,35.61,30,2011
328,Last Vegas,CBS,47,Comedy,63.749942,28,2013
329,Leap Year,Universal,21,Comedy,25.92,19,2010
330,Leatherheads,Universal,52,Comedy,31.37,58,2008
331,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,Adventure,55.68,80,2010
332,Legion,Independent,19,Action,40.17,26,2010
333,Les Miserables (2012),Uni.,70,Drama,148.80977,61,2012
334,Letters to Juliet,Summit,40,Comedy,53.03,30,2010
335,License to Wed,Warner Bros.,8,Comedy,43.8,150,2007
336,Life as We Know It,Independent,28,Comedy,53.13,52.274,2010
337,Life of Pi,Fox,87,Adventure,124.987023,120,2012
338,Limitless,Virgin,69,Tsh,79.25,27,2011
339,Lions for Lambs,Independent,27,Drama,15,60,2007
340,Little Fockers,Independent,9,Comedy,148.44,100,2010
341,Live Free or Die Hard,Fox,79,Action,134.53,47,2007
342,Lone Survivor,Universal,74,Action,93.914921,40,2013
343,Looper,TriS,93,Action,66.486205,30,2012
344,Love & Other Drugs,Fox,48,Comedy,32.37,30,2010
345,Love Happens ,Universal,18,Drama,22.96,18,2009
346,Lovelace, Radius-TWC,55,Drama,0.356582,10,2013
347,MacGruber,Independent,47,Action,8.53,10,2010
348,Machete,Independent,73,Action,26.59,20,2010
349,Machete Kills,Open Road Films,29,Action,8.008161,12,2013
350,Machine Gun Preacher,Lionsgate,29,Action,0.54,30,2011
351,Mad Money,Independent,22,Comedy,20.67,22,2008
352,Madagascar 3: Europe's Most Wanted,P/DW,79,Comedy,216.391482,145,2012
353,Madagascar: Escape 2 Africa,Paramount,64,Comedy,180.01,150,2008
354,Made of Honor,Sony,13,Comedy,46.01,40,2008
355,Magic Mike,WB,80,Comedy,113.721571,7,2012
356,Mama,Universal,66,Tsh,71.62818,15,2013
357,Mamma Mia!,Universal,53,Comedy,144.13,66,2008
358,Man of Steel,Warner Bros,55,Action,291.045518,225,2013
359,Man on a Ledge,LG/S,32,Action,18.62,42,2012
360,Margin Call,Independent,86,Tsh,5.35,3.5,2011
361,Marley and Me,Fox,63,Comedy,143.15,55,2008
362,Marmaduke,Fox,9,Comedy,33.64,50,2010
363,Mars Needs Moms,Disney,36,Comedy,21.39,150,2011
364,Marvel's The Avengers,BV,92,Action,623.35791,220,2012
365,Max Payne,Fox,16,Action,40.69,35,2008
366,Meet Dave,Fox,19,Adventure,11.8,60,2008
367,Meet the Robinsons,Disney,66,Comedy,97.82,15,2007
368,Meet the Spartans,Independent,2,Comedy,38.23,30,2008
369,Megamind,Paramount,72,Comedy,148.42,130,2010
370,MIB 3,Sony,70,Action,179.020854,225,2012
371,Michael Clayton,Independent,90,Tsh,49.03,300,2007
372,Michael Jackson's This Is It ,Sony,81,Documentary,72.1,60,2009
373,Midnight in Paris,Sony,93,Comedy,56.82,17,2011
374,Miracle at St. Anna,Disney,34,Action,7.92,45,2008
375,Mirror Mirror,Rela.,49,Adventure,64.935167,85,2012
376,Mirrors,Independent,14,Tsh,30.69,35,2008
377,Miss Pettigrew Lives for a Day,Independent,78,Comedy,12.31,60,2008
378,Mission Impossible 4,Paramount,93,Action,209.39,145,2011
379,Moneyball,Columbia,95,Drama,75.6,50,2011
380,Monsters University,Buena Vista,78,Comedy,268.492764,200,2013
381,Monsters Vs. Aliens ,Paramount,72,Comedy,198.4,175,2009
382,Monte Carlo,20th Century Fox,38,Comedy,23.19,20,2011
383,Moonrise Kingdom,Focus,94,Adventure,45.512466,16,2012
384,Morning Glory,Independent,54,Comedy,31.01,40,2010
385,Movie 43,Relativity,4,Comedy,8.840453,6,2012
386,Mr. Brooks,MGM,56,Tsh,28.55,140,2007
387,Mr. Popper's Penguins,20th Century Fox,47,Comedy,68.22,55,2011
388,Music and Lyrics,Warner Bros.,63,Comedy,50.57,130,2007
389,My Best Friend's Girl,Lionsgate,14,Comedy,19.22,20,2008
390,My Life in Ruins ,Independent,9,Comedy,8.67,17,2009
391,My Sister's Keeper ,Warner Bros.,47,Drama,49.2,27.5,2009
392,My Soul to Take,Relativity Media,9,Tsh,14.74,25,2010
393,My Week with Marilyn,The Weinstein Company,83,Drama,14.6,10,2011
394,Nancy Drew,Independent,49,Tsh,25.61,70,2007
395,Nanny McPhee Returns,Universal,77,Comedy,29.01,35,2010
396,National Treasure: Book of Secrets,Disney,31,Tsh,219.96,85,2007
397,Nebraska,Paramount,92,Drama,11.7204,12,2013
398,Never Back Down,Summit,23,Action,24.85,21,2008
399,Never Let Me Go,Independent,70,Drama,2.43,15,2010
400,New Year's Eve,Warner Bros.,8,Comedy,54.54,56,2011
401,Next,Paramount,29,Tsh,18.21,21,2007
402,Next Day Air ,Summit,21,Action,10,3,2009
403,Nick and Norah's Infinite Playlist,Sony,73,Comedy,31.49,10,2008
404,Night at the Museum: Battle of the Smithsonian ,Fox,43,Action,177.2,150,2009
405,Nights in Rodanthe,Warner Bros.,31,Drama,41.85,30,2008
406,Nim's Island,Independent,51,Adventure,48.01,37,2008
407,Nine ,Weinstein Co.,37,Drama,19.67,80,2009
408,Ninja Assassin ,Warner Bros.,25,Action,38.12,50,2009
409,No Country for Old Men,Paramount,95,Drama,74.28,48,2007
410,No Reservations,,39,Comedy,43.11,14,2007
411,No Strings Attached,Spyglass Entertainment,49,Comedy,70.66,25,2011
412,Norbit,Paramount,9,Comedy,95.67,53,2007
413,Not Easily Broken ,Independent,34,Drama,10.6,5,2009
414,Now You See Me,Lionsgate / Summit,50,Tsh,117.723989,75,2013
415,Oblivion,Universal,53,Action,89.107235,120,2013
416,Observe and Report ,Warner Bros.,51,Comedy,24,18,2009
417,Obsessed ,Sony,20,Drama,68.26,20,2009
418,Ocean's 13,Warner Bros.,70,Tsh,117.15,20,2007
419,Old Dogs ,Buena Vista,5,Comedy,49.49,35,2009
420,Oldboy,FilmDistrict,43,Tsh,2.193658,30,2013
421,Olympus Has Fallen,FilmDistrict,48,Action,98.92564,70,2013
422,One Day,Independent,37,Drama,13.84,15,2011
423,One Missed Call,Warner Bros.,0,Tsh,26.89,20,2008
424,Orphan ,Warner Bros.,55,Tsh,41.59,30,2009
425,Our Idiot Brother,The Weinstein Company,68,Comedy,24.82,5,2011
426,Over Her Dead Body,New Line,15,Comedy,7.56,10,2008
427,Oz The Great & Powerful,Buena Vista,59,Adventure,234.911825,215,2013
428,P.S. I Love You,Independent,21,Drama,53.7,75,2007
429,Pacific Rim,Warner Bros,71,Action,101.802906,190,2013
430,Pandorum ,Independent,28,Action,10.3,40,2009
431,Paranoia,Relativity,4,Tsh,7.385015,35,2013
432,Paranormal Activity ,Independent,82,Tsh,107.92,0.015,2007
433,Paranormal Activity 2,Paramount,,Tsh,84.75,3,2010
434,Paranormal Activity 3,Independent,68,Tsh,104.03,5,2011
435,Paranormal Activity 4,Par.,24,Tsh,53.9213,5,2012
436,ParaNorman,Focus,87,Comedy,56.003051,60,2012
437,Parental Guidance,Fox,18,Comedy,77.267296,25,2012
438,Pathfinder: Legend of the Ghost Warrior,,11,Action,10.23,20,2007
439,Paul,Relativity,72,Comedy,37.41,40,2011
440,Paul Blart: Mall Cop ,Sony,33,Action,146.33,26,2009
441,Penelope,Summit,52,Comedy,10.01,15,2007
442,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,Action,88.77,95,2013
443,Percy Jackson: Sea of Monsters,Fox,40,Adventure,68.558662,90,2013
444,Philomena,Weinstein ,92,Drama,33.220299,12,2013
445,Pineapple Express,Sony,68,Action,87.34,26,2008
